text,label,,,
Mahal ko ang gawa mo,1,,,
Ang iyong trabaho ay maganda. (Your work is good.),1,,,
napakaganda ng iyong gawa,1,,,
ang ganda ng iyong katawan,1,,,
"""Nagustuhan ko ang iyong trabaho. (I liked your work.)
",1,,,
"Ang iyong trabaho ay kasingkahulugan ng aming mga pamantayan."" (Your work meets our standards.)",1,,,
"""Ipinakita mo ang iyong talino sa iyong trabaho."" (You showed your talent in your work.)",1,,,
"""Nagawa mo ng maayos ang iyong trabaho."" (You did your work well.)",1,,,
"""Ang iyong trabaho ay nakatulong sa amin."" (Your work was helpful to us.)",1,,,
"""Ang iyong trabaho ay nagbigay ng positibong resulta."" (Your work had a positive result.)",1,,,
"""Nagustuhan ko ang iyong pananaw sa trabaho."" (I liked your perspective on the work.)",1,,,
"""Ang iyong trabaho ay nagbigay ng mga ideya para sa amin."" (Your work gave us ideas.)",1,,,
"""Ipinakita mo ang iyong dedikasyon sa iyong trabaho."" (You showed your dedication in your work.)",1,,,
"""Ang iyong trabaho ay nakatulong sa amin na mapabuti ang aming proseso."" (Your work helped us improve our process.)",1,,,
"""Ang iyong trabaho ay nagbigay ng mga ideya para sa aming hinaharap."" (Your work gave us ideas for the future.)",1,,,
"""Ipinakita mo ang iyong kakayahan sa iyong trabaho."" (You showed your skills in your work.)",1,,,
"""Ang iyong trabaho ay nakatulong sa amin na mapabuti ang aming mga resulta."" (Your work helped us improve our results.)",1,,,
"""Ang iyong trabaho ay nagbigay ng mga ideya para sa aming paglago."" (Your work gave us ideas for growth.)",1,,,
"""Ipinakita mo ang iyong kakayahan sa pamamahala sa iyong trabaho."" (You showed your management skills in your work.)",1,,,
"""Ang iyong trabaho ay nagbigay ng mga ideya para sa aming kaunlaran."" (Your work gave us ideas for development.)",1,,,
"""Ipinakita mo ang iyong kakayahan sa pangangasiwa sa iyong trabaho."" (You showed your ability to oversee in your work.)",1,,,
"""Ang iyong trabaho ay nagbigay ng mga ideya para sa aming kapakanan."" (Your work gave us ideas for our benefit.)",1,,,
